#Written with Eu4 Easy Province Creator by emiroercn
#UNNAMED
#religion = has
#culture = Hasian
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
native_size = 0
native_ferocity = 0
native_hostileness = 0
capital = "Emaneme"
is_city = no

discovered_by = antestal_yom_tech_gr
discovered_by = estal_tribal_tech_gr













































































































































































































































































































































































































































































































































































































































































































